SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SURVEY_TOPIC,QUESTION_LABEL_LONG_DESCR,SURVEY_QUESTION,GRADE_GROUP_DESCRIPTION,NON_EXCLUDED_RESPONSES,MANY_OR_ALL_RESPONSES,MANY_OR_ALL_PCT
2010/2011,PROVINCE LEVEL,BC Public School,,,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,4186,2920,70
2010/2011,PROVINCE LEVEL,BC Public School,,,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,4115,2341,57
2010/2011,PROVINCE LEVEL,BC Public School,,,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,4131,2868,69
2010/2011,PROVINCE LEVEL,BC Public School,,,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,4097,2415,59
2010/2011,DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,48,28,58
2010/2011,DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,47,22,47
2010/2011,DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,48,34,71
2010/2011,DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,48,26,54
2010/2011,DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,25,16,64
2010/2011,DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,26,20,77
2010/2011,DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,24,17,71
2010/2011,DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,22,11,50
