SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2011/2012,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,Standard,7355 Village Loop Rd,Jaffray,BC,V0B1T0,250 429-3211,250 429-3555,49.3726,-115.301,ELEMENTARY JR SECONDARY,K-10,TRUE,TRUE
2011/2012,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,Standard,1302 Second Ave,Fernie,BC,V0B1M0,250 423-4651,250 423-7661,49.5097,-115.055,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,Standard,101 Blue Spruce,Sparwood,BC,V0B2G0,250 425-7818,250 425-2426,49.7362,-114.893,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,5,Southeast Kootenay,501017,Rocky Mountain Elementary,Standard,2400 Balmer Dr,Elkford,BC,V0B1H0,250 865-4625,250 865-4451,50.0067,-114.928,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,5,Southeast Kootenay,502001,Mount Baker Secondary,Standard,1410 Baker St,Cranbrook,BC,V1C1B2,250 426-5241,250 426-6673,49.5122,-115.762,SECONDARY,12-Oct,FALSE,TRUE
2011/2012,BC Public School,5,Southeast Kootenay,502011,Laurie Middle School,Standard,1808 2nd St S,Cranbrook,BC,V1C1C5,250 426-5291,250 489-5723,49.5089,-115.756,MIDDLE SCHOOL,09-Jul,TRUE,TRUE
2011/2012,BC Public School,5,Southeast Kootenay,502023,Amy Woodland Elementary,Standard,911 6th St S,Cranbrook,BC,V1C1L6,250 426-7258,250 426-1815,49.5025,-115.768,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,5,Southeast Kootenay,502024,T M Roberts Elementary,Standard,10 Wattsville St S,Cranbrook,BC,V1C2A2,250 489-4575,250 489-0788,49.5039,-115.779,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,5,Southeast Kootenay,502028,Gordon Terrace Elementary,Standard,1200 5th Ave S,Cranbrook,BC,V1C2H1,250 426-8248,250 426-0824,49.4967,-115.774,ELEMENTARY,K-6,TRUE,FALSE
2011/2012,BC Public School,5,Southeast Kootenay,502029,Highlands Elementary,Standard,3300 7th St S,Cranbrook,BC,V1C5G3,250 489-4391,250 489-0600,49.5026,-115.735,ELEMENTARY,K-6,TRUE,FALSE
