DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_YEAR,MEASURE_NAME,MEASURE_VALUE
PROVINCE LEVEL,PROVINCE - Total,,,,,1996/1997,FIRST TIME GRADE 12 GRAD,72
PROVINCE LEVEL,PROVINCE - Total,,,,,1997/1998,FIRST TIME GRADE 12 GRAD,71
PROVINCE LEVEL,PROVINCE - Total,,,,,1998/1999,FIRST TIME GRADE 12 GRAD,73
PROVINCE LEVEL,PROVINCE - Total,,,,,1999/2000,FIRST TIME GRADE 12 GRAD,74
PROVINCE LEVEL,PROVINCE - Total,,,,,2000/2001,FIRST TIME GRADE 12 GRAD,75
PROVINCE LEVEL,PROVINCE - Total,,,,,2001/2002,FIRST TIME GRADE 12 GRAD,76
PROVINCE LEVEL,PROVINCE - Total,,,,,2002/2003,FIRST TIME GRADE 12 GRAD,76
PROVINCE LEVEL,PROVINCE - Total,,,,,2003/2004,FIRST TIME GRADE 12 GRAD,76
PROVINCE LEVEL,PROVINCE - Total,,,,,2004/2005,FIRST TIME GRADE 12 GRAD,77
PROVINCE LEVEL,PROVINCE - Total,,,,,2005/2006,FIRST TIME GRADE 12 GRAD,78
PROVINCE LEVEL,PROVINCE - Total,,,,,2006/2007,FIRST TIME GRADE 12 GRAD,79
PROVINCE LEVEL,PROVINCE - Total,,,,,2007/2008,FIRST TIME GRADE 12 GRAD,79
PROVINCE LEVEL,PROVINCE - Total,,,,,2008/2009,FIRST TIME GRADE 12 GRAD,79
PROVINCE LEVEL,PROVINCE - Total,,,,,2009/2010,FIRST TIME GRADE 12 GRAD,80
PROVINCE LEVEL,PROVINCE - Total,,,,,2010/2011,FIRST TIME GRADE 12 GRAD,79
PROVINCE LEVEL,PROVINCE - Total,,,,,2011/2012,FIRST TIME GRADE 12 GRAD,81
PROVINCE LEVEL,BC Public School,,,,,1996/1997,FIRST TIME GRADE 12 GRAD,71
PROVINCE LEVEL,BC Public School,,,,,1997/1998,FIRST TIME GRADE 12 GRAD,70
PROVINCE LEVEL,BC Public School,,,,,1998/1999,FIRST TIME GRADE 12 GRAD,72
PROVINCE LEVEL,BC Public School,,,,,1999/2000,FIRST TIME GRADE 12 GRAD,73
PROVINCE LEVEL,BC Public School,,,,,2000/2001,FIRST TIME GRADE 12 GRAD,74
PROVINCE LEVEL,BC Public School,,,,,2001/2002,FIRST TIME GRADE 12 GRAD,75
PROVINCE LEVEL,BC Public School,,,,,2002/2003,FIRST TIME GRADE 12 GRAD,75
PROVINCE LEVEL,BC Public School,,,,,2003/2004,FIRST TIME GRADE 12 GRAD,75
PROVINCE LEVEL,BC Public School,,,,,2004/2005,FIRST TIME GRADE 12 GRAD,76
PROVINCE LEVEL,BC Public School,,,,,2005/2006,FIRST TIME GRADE 12 GRAD,77
PROVINCE LEVEL,BC Public School,,,,,2006/2007,FIRST TIME GRADE 12 GRAD,78
PROVINCE LEVEL,BC Public School,,,,,2007/2008,FIRST TIME GRADE 12 GRAD,78
PROVINCE LEVEL,BC Public School,,,,,2008/2009,FIRST TIME GRADE 12 GRAD,78
PROVINCE LEVEL,BC Public School,,,,,2009/2010,FIRST TIME GRADE 12 GRAD,79
PROVINCE LEVEL,BC Public School,,,,,2010/2011,FIRST TIME GRADE 12 GRAD,78
PROVINCE LEVEL,BC Public School,,,,,2011/2012,FIRST TIME GRADE 12 GRAD,80
PROVINCE LEVEL,BC Independent School,,,,,1996/1997,FIRST TIME GRADE 12 GRAD,88
PROVINCE LEVEL,BC Independent School,,,,,1997/1998,FIRST TIME GRADE 12 GRAD,88
PROVINCE LEVEL,BC Independent School,,,,,1998/1999,FIRST TIME GRADE 12 GRAD,87
PROVINCE LEVEL,BC Independent School,,,,,1999/2000,FIRST TIME GRADE 12 GRAD,88
PROVINCE LEVEL,BC Independent School,,,,,2000/2001,FIRST TIME GRADE 12 GRAD,91
PROVINCE LEVEL,BC Independent School,,,,,2001/2002,FIRST TIME GRADE 12 GRAD,92
PROVINCE LEVEL,BC Independent School,,,,,2002/2003,FIRST TIME GRADE 12 GRAD,91
PROVINCE LEVEL,BC Independent School,,,,,2003/2004,FIRST TIME GRADE 12 GRAD,90
PROVINCE LEVEL,BC Independent School,,,,,2004/2005,FIRST TIME GRADE 12 GRAD,91
PROVINCE LEVEL,BC Independent School,,,,,2005/2006,FIRST TIME GRADE 12 GRAD,90
PROVINCE LEVEL,BC Independent School,,,,,2006/2007,FIRST TIME GRADE 12 GRAD,92
PROVINCE LEVEL,BC Independent School,,,,,2007/2008,FIRST TIME GRADE 12 GRAD,91
PROVINCE LEVEL,BC Independent School,,,,,2008/2009,FIRST TIME GRADE 12 GRAD,92
PROVINCE LEVEL,BC Independent School,,,,,2009/2010,FIRST TIME GRADE 12 GRAD,93
PROVINCE LEVEL,BC Independent School,,,,,2010/2011,FIRST TIME GRADE 12 GRAD,90
PROVINCE LEVEL,BC Independent School,,,,,2011/2012,FIRST TIME GRADE 12 GRAD,90
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,1996/1997,FIRST TIME GRADE 12 GRAD,71
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,1997/1998,FIRST TIME GRADE 12 GRAD,71
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,1998/1999,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,1999/2000,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2000/2001,FIRST TIME GRADE 12 GRAD,74
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2001/2002,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2002/2003,FIRST TIME GRADE 12 GRAD,81
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2003/2004,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2004/2005,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2005/2006,FIRST TIME GRADE 12 GRAD,72
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2006/2007,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2007/2008,FIRST TIME GRADE 12 GRAD,82
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2008/2009,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2009/2010,FIRST TIME GRADE 12 GRAD,82
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2010/2011,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2011/2012,FIRST TIME GRADE 12 GRAD,85
