SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_GRADE,SCHOOL_GRADE_HEADCOUNT,SCHOOL_TOTAL_HEADCOUNT
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,1,16,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,2,19,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,3,11,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,4,12,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,5,16,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,6,20,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,7,18,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,8,17,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,9,Msk,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,10,12,164
2011/2012,BC Public School,501007,Jaffray Elem-Jr Secondary,Standard,KF,16,164
2011/2012,BC Public School,501009,Isabella Dicken Elementary,Standard,1,44,306
2011/2012,BC Public School,501009,Isabella Dicken Elementary,Standard,2,48,306
2011/2012,BC Public School,501009,Isabella Dicken Elementary,Standard,3,47,306
2011/2012,BC Public School,501009,Isabella Dicken Elementary,Standard,4,34,306
2011/2012,BC Public School,501009,Isabella Dicken Elementary,Standard,5,41,306
2011/2012,BC Public School,501009,Isabella Dicken Elementary,Standard,6,40,306
2011/2012,BC Public School,501009,Isabella Dicken Elementary,Standard,KF,52,306
2011/2012,BC Public School,501010,Frank J Mitchell Elementary,Standard,1,43,317
2011/2012,BC Public School,501010,Frank J Mitchell Elementary,Standard,2,41,317
2011/2012,BC Public School,501010,Frank J Mitchell Elementary,Standard,3,36,317
2011/2012,BC Public School,501010,Frank J Mitchell Elementary,Standard,4,55,317
2011/2012,BC Public School,501010,Frank J Mitchell Elementary,Standard,5,43,317
2011/2012,BC Public School,501010,Frank J Mitchell Elementary,Standard,6,39,317
2011/2012,BC Public School,501010,Frank J Mitchell Elementary,Standard,KF,60,317
2011/2012,BC Public School,501017,Rocky Mountain Elementary,Standard,1,26,228
2011/2012,BC Public School,501017,Rocky Mountain Elementary,Standard,2,33,228
2011/2012,BC Public School,501017,Rocky Mountain Elementary,Standard,3,30,228
2011/2012,BC Public School,501017,Rocky Mountain Elementary,Standard,4,35,228
2011/2012,BC Public School,501017,Rocky Mountain Elementary,Standard,5,39,228
2011/2012,BC Public School,501017,Rocky Mountain Elementary,Standard,6,28,228
2011/2012,BC Public School,501017,Rocky Mountain Elementary,Standard,KF,37,228
2011/2012,BC Public School,502001,Mount Baker Secondary,Standard,10,299,920
2011/2012,BC Public School,502001,Mount Baker Secondary,Standard,11,306,920
2011/2012,BC Public School,502001,Mount Baker Secondary,Standard,12,315,920
2011/2012,BC Public School,502011,Laurie Middle School,Standard,7,115,372
2011/2012,BC Public School,502011,Laurie Middle School,Standard,8,108,372
2011/2012,BC Public School,502011,Laurie Middle School,Standard,9,149,372
2011/2012,BC Public School,502023,Amy Woodland Elementary,Standard,1,41,241
2011/2012,BC Public School,502023,Amy Woodland Elementary,Standard,2,27,241
2011/2012,BC Public School,502023,Amy Woodland Elementary,Standard,3,23,241
2011/2012,BC Public School,502023,Amy Woodland Elementary,Standard,4,33,241
2011/2012,BC Public School,502023,Amy Woodland Elementary,Standard,5,40,241
2011/2012,BC Public School,502023,Amy Woodland Elementary,Standard,6,35,241
2011/2012,BC Public School,502023,Amy Woodland Elementary,Standard,KF,42,241
2011/2012,BC Public School,502024,T M Roberts Elementary,Standard,1,49,336
2011/2012,BC Public School,502024,T M Roberts Elementary,Standard,2,41,336
2011/2012,BC Public School,502024,T M Roberts Elementary,Standard,3,55,336
2011/2012,BC Public School,502024,T M Roberts Elementary,Standard,4,44,336
2011/2012,BC Public School,502024,T M Roberts Elementary,Standard,5,56,336
2011/2012,BC Public School,502024,T M Roberts Elementary,Standard,6,32,336
2011/2012,BC Public School,502024,T M Roberts Elementary,Standard,KF,59,336
