DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE_ATTRIB,SCHOOL_NAME_ATTRIB,SCHOOL_YEAR,MEASURE_NAME,MASKED_VALUE
PROVINCE LEVEL,PROVINCE - Total,,,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,75.4
PROVINCE LEVEL,PROVINCE - Total,,,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,76.5
PROVINCE LEVEL,PROVINCE - Total,,,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,77.4
PROVINCE LEVEL,PROVINCE - Total,,,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,79.1
PROVINCE LEVEL,PROVINCE - Total,,,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,79.6
PROVINCE LEVEL,PROVINCE - Total,,,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,79.7
PROVINCE LEVEL,PROVINCE - Total,,,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,80.2
PROVINCE LEVEL,PROVINCE - Total,,,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,80.1
PROVINCE LEVEL,PROVINCE - Total,,,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,78.8
PROVINCE LEVEL,PROVINCE - Total,,,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,79.2
PROVINCE LEVEL,PROVINCE - Total,,,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,79.7
PROVINCE LEVEL,PROVINCE - Total,,,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,81
PROVINCE LEVEL,PROVINCE - Total,,,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,81.8
PROVINCE LEVEL,BC Public School,,,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,74.6
PROVINCE LEVEL,BC Public School,,,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,75.7
PROVINCE LEVEL,BC Public School,,,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,76.5
PROVINCE LEVEL,BC Public School,,,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,78.5
PROVINCE LEVEL,BC Public School,,,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,78.9
PROVINCE LEVEL,BC Public School,,,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,79.1
PROVINCE LEVEL,BC Public School,,,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,79.4
PROVINCE LEVEL,BC Public School,,,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,79.4
PROVINCE LEVEL,BC Public School,,,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,77.9
PROVINCE LEVEL,BC Public School,,,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,78.3
PROVINCE LEVEL,BC Public School,,,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,79
PROVINCE LEVEL,BC Public School,,,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,80.3
PROVINCE LEVEL,BC Public School,,,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,81.2
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,85.7
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,87.2
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,86.6
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,83.9
